Unnamed: 0,"!NOTE!: Unless otherwise indicated, values are reported from the year in which the event took place. Next to the original cost or revenue values you will see original values converted to USD2018. Further details can be found in the source of the value. Cells marked in a light gray are missing values, they have been imputed based on the values converted to USD2019.",Unnamed: 2,Number of Athletes,SOURCE,Number of events,SOURCE.1,Number of countries,SOURCE.2,Accredited Media,SOURCE.3,Ticketing Revenue,Ticketing Revenue (USD2018),SOURCE.4,Broadcast Revenue,Broadcast Revenue (USD2018),SOURCE.5,International Sponsorship Revenue ,International Sponsorship Revenue (USD 2018),SOURCE.6,Domestic Sponsorship Revenue,Domestic Sponsorship Revenue (USD 2018),SOURCE.7,Cost of venues,Cost of venues (USD 2018),SOURCE.8,Cost of organisation,Cost of organisation (USD 2018),SOURCE.9
,,,SPORTS,,,,,,MEDIA,,,,,MARKETING,,,,,,,,,COSTS,,,,,
Summer Olympic Games,SUMMER OLYMPIC GAMES,1964 Tokyo,5558,"Tokyo Metropolitan Government, ""18th Olympic Games Tokyo Metropolitan Report"" [dai 18kai orinpikku kyogitaikai tokyo to hokokusho], 1965, p.25",163.0,"[1] Tokyo Metropolitan Government, ""18th Olympic Games Tokyo Metropolitan Report"" [dai 18kai orinpikku kyogitaikai tokyo to hokokusho], 1965, p.303, [2] Organizing Committee. (1964). THE GAMES OF THE XVII OLXMPIAD TOKYO 1964 | The Official Report of the Organizing Committee, p. 44",94.0,"Organizing Committee. (1964). THE GAMES OF THE XVII OLXMPIAD TOKYO 1964 | The Official Report of the Organizing Committee, p. 78",1891,"Organizing Committee. (1964). THE GAMES OF THE XVII OLXMPIAD TOKYO 1964 | The Official Report of the Organizing Committee, p. 91, p. 385.",1910480100,42964387.0,"Organizing Committee (English), 1964, p. 62. (THE GAMES OF THE XVII OLXMPIAD TOKYO 1964 | The Official Report of the Organizing Committee)",1600000,12953543.0,"International Olympic Committee IOC. (2017). Olympic Marketing Fact File 2018 Edition. https://stillmed.olympic.org/media/Document%20Library/OlympicOrg/Documents/IOC-Marketing-and-Broadcasting-General-Files/Olympic-Marketing-Fact-File-2018.pdf, p. 27",1000000.0,8095965.0,"[1] International Olympic Committee IOC. (2017). Olympic Marketing Fact File 2018 Edition. https://stillmed.olympic.org/media/Document%20Library/OlympicOrg/Documents/IOC-Marketing-and-Broadcasting-General-Files/Olympic-Marketing-Fact-File-2018.pdf, p. 20 [2], Organizing Committee. (1964). THE GAMES OF THE XVII OLXMPIAD TOKYO 1964 | The Official Report of the Organizing Committee, p. 67",No domestic sponsorship,No domestic sponsorship,,16434700000,369596525.0,The Tokyo Metropolitan Government. (1965). Official Report | Tokyo Olympic Games 1964. p. 331,9819300000.0,220824180.0,The Tokyo Metropolitan Government. (1965). Official Report | Tokyo Olympic Games 1964. p. 62
,,1968 Mexico City,6059,"OCOG of the XIX Olympiad, 1969 Vol.2, p.165 ",172.0,"OCOG of the XIX Olympiad, 1969 Vol.2, p.123",113.0,"OCOG of the XIX Olympiad, 1969 Vol.3, p.8",4377,"OCOG of the XIX Olympiad, 1969 Vol.2, p.303",,69267458.0,"No original source, value is imputed",9800000,70745900.2,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://stillmedab.olympic.org/media/Document%20Library/OlympicOrg/Documents/IOC-Marketing-and-Broadcasting-General-Files/Olympic-Marketing-Fact-File.pdf#_ga=2.241424773.649950629.1612188945-1369859038.1612188945, p. 27",,1935092.0,"No original source, value is imputed",No domestic sponsorship,No domestic sponsorship,,53600000,366903358.5,"OCOG of the XIX Olympiad, 1969 Vol.2, p.23-24",76880000.0,554996720.0,"OCOG of the XIX Olympiad, 1969 Vol.2 (pt1), p. 23-24"
,,1972 Munich,7134,IOC. (2018). 1972 Olympics—Munich Summer Games results & highlights. https://www.olympic.org/munich-1972,195.0,"Flyvbjerg, B., Stewart, A., & Budzier, A. (2016). The Oxford Olympics Study 2016: Cost and Cost Overrun at the Games. https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2804554, p. 9",121.0,IOC. (2018). 1972 Olympics—Munich Summer Games results & highlights. https://www.olympic.org/munich-1972,4500,"Deutscher Bundestag. (1975). Unterrichtung durch die Bundesregierung betr. Gesamtfinanzierung der Olympischen Sommerspiele 1972, p. 29",53420871,100592619.0,"Organizing Committee Olympics Münich 1972. (1974). Die Spiele—The official report of the Organizing Committee for the Games of the XXth Olympiad Munich 1972, The organization (Pro Sport München, Vol. 1), p. 310",18000000,108089169.32,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",6000000.0,11298125.78,"Organizing Committee Olympics Münich 1972. (1974). Die Spiele—The official report of the Organizing Committee for the Games of the XXth Olympiad Munich 1972, The organization (Pro Sport München, Vol. 1), p. 251",No domestic sponsorship,No domestic sponsorship,,638750000,1202779640.0,"Organizing Committee Olympics Münich 1972. (1974). Die Spiele—The official report of the Organizing Committee for the Games of the XXth Olympiad Munich 1972, The organization (Pro Sport München, Vol. 1), p. 29",527300000.0,992916953.0,"Organizing Committee Olympics Münich 1972. (1974). Die Spiele—The official report of the Organizing Committee for the Games of the XXth Olympiad Munich 1972, The organization (Pro Sport München, Vol. 1), p. 29 and 53"
,,1976 Montreal,6084,IOC: https://www.olympic.org/montreal-1976 (accessed 18.05.2015),198.0,IOC: https://www.olympic.org/montreal-1976 (accessed 18.05.2015),92.0,IOC: https://www.olympic.org/montreal-1976 (accessed 18.05.2015),8733,"Chattigny, L. (Ed.). (1978). Montréal 1976. Games of the XXI Olympiad Montréal 1967. Official Report. Volume I Organization. (Vol. 1), p. 383-385",27000000,120828662.0,"Chattigny, L. (Ed.). (1978). Montréal 1976. Games of the XXI Olympiad Montréal 1967. Official Report. Volume I Organization. (Vol. 1), p. 58-59",35000000,154436930.0,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",7000000.0,30887386.0,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 20",No domestic sponsorship,No domestic sponsorship,,1128000000,5047952972.0,"Chattigny, L. (Ed.). (1978). Montréal 1976. Games of the XXI Olympiad Montréal 1967. Official Report. Volume I Organization. (Vol. 1), p. 58 and p. 90",207000000.0,926353072.0,"Chattigny, L. (Ed.). (1978). Montréal 1976. Games of the XXI Olympiad Montréal 1967. Official Report. Volume I Organization. (Vol. 1), p. 58"
,,1980 Moscow,5748,"Organizing Committee Olympic Games Moscow. (1981). Official Report of the Organizing Committee of the Games of the XXII Olympiad, Vol 3, Moscow, 1980, p. 7",203.0,"Organizing Committee Olympic Games Moscow. (1981). Official Report of the Organizing Committee of the Games of the XXII Olympiad, Vol 3, Moscow, 1980, p. 6",81.0,"Organizing Committee Olympic Games Moscow. (1981). Official Report of the Organizing Committee of the Games of the XXII Olympiad, Vol 3, Moscow, 1980, p. 6",5615,"Organizing Committee Olympic Games Moscow. (1981). Official Report of the Organizing Committee of the Games of the XXII Olympiad, Vol 2, Moscow, 1980, p. 482",20200000,96250122.0,"Organizing Committee Olympic Games Moscow. (1981). Official Report of the Organizing Committee of the Games of the XXII Olympiad, Vol 2, Moscow, 1980, p. 525 and 529",88000000,268147121.08,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",7800000.0,37165888.56,"Organizing Committee Olympic Games Moscow. (1981). Official Report of the Organizing Committee of the Games of the XXII Olympiad, Vol 2, Moscow, 1980, p. 506 and 525",No domestic sponsorship,No domestic sponsorship,,431300000,2055083042.0,"Organizing Committee Olympic Games Moscow. (1981). Official Report of the Organizing Committee of the Games of the XXII Olympiad, Vol 2, Moscow, 1980, p. 524",150300000.0,716158083.36,"Organizing Committee Olympic Games Moscow. (1981). Official Report of the Organizing Committee of the Games of the XXII Olympiad, Vol 2, Moscow, 1980, p. 524"
,,1984 Los Angeles,6829,IOC 2018: https://www.olympic.org/los-angeles-1984 (accessed 07.07.2018),221.0,IOC 2018: https://www.olympic.org/los-angeles-1984 (accessed 07.07.2018),140.0,IOC 2018: https://www.olympic.org/los-angeles-1984 (accessed 07.07.2018),9190,IOC 2018: https://www.olympic.org/los-angeles-1984 (accessed 07.07.2018),156000000,377080498.0,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",287000000,693731428.81,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",123191000.0,297775151.38,"LAOOC Los Angeles Olympic Games Organizing Commitee. (1985). Official Report of the Games of the XXIIIrd Olympiad Los Angeles, 1984: Vol. 1 Organization and Planning, p. 311",No domestic sponsorship,No domestic sponsorship,,27770000,67125162.99,"LAOOC Los Angeles Olympic Games Organizing Commitee. (1985). Official Report of the Games of the XXIIIrd Olympiad Los Angeles, 1984: Vol. 1 Organization and Planning, p. 308",165228000.0,399386259.65,"LAOOC Los Angeles Olympic Games Organizing Commitee. (1985). Official Report of the Games of the XXIIIrd Olympiad Los Angeles, 1984: Vol. 1 Organization and Planning, p. 308"
,,1988 Seoul,8397,IOC 2019: https://www.olympic.org/seoul-1988 (acessed 30.01.2019),237.0,IOC 2019: https://www.olympic.org/seoul-1988 (acessed 30.01.2019),159.0,IOC 2019: https://www.olympic.org/seoul-1988 (acessed 30.01.2019),11331,IOC 2019: https://www.olympic.org/seoul-1988 (acessed 30.01.2019),36000000,76441502.41,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",403000000,855720151.94,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",63936000.0,135760108.27,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 21",No domestic sponsorship,No domestic sponsorship,,774000000000,2246856371.0,"SLOOC. (1989). Official Report, Organization and Planning, Volume 1.II, p. 156",568391000000.0,1649990878.0,"SLOOC. (1989). Official Report, Organization and Planning, Volume 1.III, p. 221"
,,1992 Barcelona (note that cost of venues in 1992 and cost of organization was reported in 1985),9959,"COOB’92 Comitè Organitzador de les Olimpíades de Barcelona 1992. (1992). Official report of the Games of the XXV Olympiad Barcelona 1992, vol. 4. COOB’92. p.87",257.0,"COOB’92 Comitè Organitzador de les Olimpíades de Barcelona 1992. (1992). Official report of the Games of the XXV Olympiad Barcelona 1992, vol. 3. COOB’92. p.24",172.0,"COOB’92 Comitè Organitzador de les Olimpíades de Barcelona 1992. (1992). Official report of the Games of the XXV Olympiad Barcelona 1992, vol. 3. COOB’92. p.87",12831,"COOB’92 Comitè Organitzador de les Olimpíades de Barcelona 1992. (1992). Official report of the Games of the XXV Olympiad Barcelona 1992, vol. 3. COOB’92. p.55",79000000,141375980.98,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",636000000,1138166125.35,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",114552000.0,204998751.56,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15",No domestic sponsorship,No domestic sponsorship,,87511000000,1529678996.0,"Brunet, F. (2002). Anàlisi de l’impact economic dels Jocs Olímpics de Barcelona 1986-2004. In M. de Moragas & M. Botella (Eds.), Barcelona: L’herència dels Jocs (1992-2002) (pp. 245–274). Centre d’Estudis Olímpics - UAB, Editorial Planeta. P. 212",70254000000.0,998663592.45,"COOB’92 Comitè Organitzador de les Olimpíades de Barcelona 1992. (1992). Official report of the Games of the XXV Olympiad Barcelona 1992, vol. 1.III COOB’92. p.283 and vol2.part XXX, p. 59"
,,1996 Atlanta,10318,IOC 2018: https://www.olympic.org/atlanta-1996 20 (accessed 06.13.18),271.0,IOC 2018: https://www.olympic.org/atlanta-1996 (accessed 06.13.18),197.0,IOC 2018: https://www.olympic.org/atlanta-1996 (accessed 06.13.18),15108,"IOC. (2020). Summer Olympic Games—Atlanta 1996—""All Facts"". https://www.olympic.org/atlanta-1996",425000000,680398228.86,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",898000000,1437641434.15,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",185814000.0,297476509.4,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",426000000,681999165.87,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",494239000,791245506.43,"Atlanta Committee for the Olympic Games (Ed.). (1997). The official report of the Centennial Olympic Games, vol 1. Peachtree. library.la84.org/6oic/OfficialReports/1996/1996v1.pdf, p. 222",1226779000.0,1963995903.06,"Atlanta Committee for the Olympic Games (Ed.). (1997). The official report of the Centennial Olympic Games, vol 1. Peachtree. library.la84.org/6oic/OfficialReports/1996/1996v1.pdf, p. 222"
,,2000 Sydney,10651,IOC 2017: https://www.olympic.org/sydney-2000 (accessed 23.08.17),300.0,IOC 2017: https://www.olympic.org/sydney-2000 (accessed 23.08.17),199.0,IOC 2017: https://www.olympic.org/sydney-2000 (accessed 23.08.17),5900,"Sydney 2000. (2000). Sydney 2000 Broadcast Report (pp. 1–22). https://stillmed.olympic.org/media/Document%20Library/OlympicOrg/Games/Summer-Games/Games-Sydney-2000-Olympic-Games/IOC-Marketing-and-Broadcasting-Various-files/IOC-Marketing-Report-Chap-1-Sydney-2000.pdf, 10",551000000,803478580.74,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",1332000000,1942347494.65,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",385614000.0,562309599.7,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",492000000,717443669.2,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",1966000000,1661946805.28,"Sydney Organising Committee for the Olympic Games SOCOG (Ed.). (2001). Official Report of the XXVII Olympiad Volume One: Preparing for the Games (First Edition). Paragon Pringer Australasia, p. 370-393",2015700000.0,1703960414.75,"Sydney Organising Committee for the Olympic Games SOCOG (Ed.). (2001). Official Report of the XXVII Olympiad Volume One: Preparing for the Games (First Edition). Paragon Pringer Australasia, p. 274"
,,2004 Athens ,10625,"IOC, 2018: https://www.olympic.org/athens-2004 (accessed 1/6/2018)",301.0,"IOC, 2018: https://www.olympic.org/athens-2004 (accessed 1/6/2018)",201.0,"IOC, 2018: https://www.olympic.org/athens-2004 (accessed 1/6/2018)",15000,"Garcia, B., & Miah, A. (2006). Non-accredited media, Olympic Games and the host city. Communication Forum 2006: Global Olympiad, Chinese Media. https://www.researchgate.net/publication/43328947_Non-accredited_media_Olympic_Games_and_the_host_city, p.7",228000000,303107709.36,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",1494000000,1986153148.16,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",441558000.0,587015938.28,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15-21",302000000,401484772.92,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15-21",3000000000,4960521559.27,"Kasimati, E. (2015). Post-Olympic use of the Olympic venues: The case of Greece. Athens journal of sports, 2(3), 167–184, p. 168",1962600000.0,2589614782.89,"ATHOC. (2004). Official Report of the XXVIII Olympiad, Vol 1.II: Athens 2004. p. 131"
,,2008 Beijing,10500,"International Olympic Committee (IOC). (2010). Final report of the IOC coordination commission: Games of the XXIX Olympics. https://stillmed.olympic.org/media/Document%20Library/OlympicOrg/Games/Summer-Games/Games-Beijing-2008-Olympic-Games/Final-Report-of-the-IOC-Coordination-Commission/Final-Report-of-the-IOC-Coordination-Commission-Beijing-2008.pdf, p. 42",302.0,"Beijing Organizing Committee for the Games of the XXIX Olympiad (BOCOG). (2010b). Ceremonies and competitions: Celebration of the Games official report of the Beijing 2008 Olympic Games (Vol. 2). BOCOG. https://digital.la84.org/digital/collection/p17103coll8/id/44636/rec/89, p. 125",204.0,"Beijing Organizing Committee for the Games of the XXIX Olympiad (BOCOG). (2010b). Ceremonies and competitions: Celebration of the Games official report of the Beijing 2008 Olympic Games (Vol. 2). BOCOG. https://digital.la84.org/digital/collection/p17103coll8/id/44636/rec/89, p. 109",24704,"Beijing Organizing Committee for the Games of the XXIX Olympiad (BOCOG). (2010). Preparation for the games: New Beijing Great Olympics. Official report of the Beijing 2008 Olympic Games (Vol. 3). BOCOG. https://stillmed.olympic.org/Documents/Reports/Official%20Past%20Games%20Reports/Summer/ENG/2008-RO-S-Beijing-vol3.pdf, p. 131-132",185000000,215765569.14,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",1739000000,2028196349.9,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",576756000.0,672670738.35,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",1218000000,1420553855.19,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",1758000000,2050356057.0,"Matheson, V. (2012). Assessing the infrastructure impact of mega-events in emerging economies. Economics Department Working Papers. https://crossworks.holycross.edu/econ_working_papers/8, p. 34",19343000000.0,3246474043.58,"Beijing Organizing Committee for the Games of the XXIX Olympiad (BOCOG). (2010). Preparation for the games: New Beijing Great Olympics. Official report of the Beijing 2008 Olympic Games (Vol. 3). BOCOG. https://stillmed.olympic.org/Documents/Reports/Official%20Past%20Games%20Reports/Summer/ENG/2008-RO-S-Beijing-vol3.pdf, p. 297"
,,2012 London,10568,IOC 2017: https://www.olympic.org/london-2012 (accessed 2014.12.2017),302.0,"IOC. (2020). Summer Olympic Games—London 2008—""All Facts"". https://www.olympic.org/london-2012",204.0,IOC 2017: https://www.olympic.org/london-2012 (accessed 2014.12.2017),21000,"IOC. (2020). Summer Olympic Games—London 2012—""All Facts"". https://www.olympic.org/london-2012",988000000,1080567526.0,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",2569000000,2809694307.26,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",632700000.0,691978819.85,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",1150000000,1257745602.7,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",4486000000,7750871314.97,"Jennings, W. (2012). Why costs overrun: Risk, optimism and uncertainty in budgeting for the London 2012 Olympic Games. Construction Management and Economics, 30(6), 455–462.",1896919000.0,3277479951.83,"The London Organising Committee of the Olympic Games (LOCOG). (2013). London 2012. Reports and Accounts. The London Organising Committee of the Olympic Games and Paralympic Games Limited, p. 43"
