Unnamed: 0,"!NOTE!: Unless otherwise indicated, values are reported from the year in which the event took place. Next to the original cost or revenue values you will see original values converted to USD2018. Further details can be found in the source of the value. Cells marked in a light gray are missing values, they have been imputed based on the values converted to USD2019.",Unnamed: 2,Number of Athletes,SOURCE,Number of events,SOURCE.1,Number of countries,SOURCE.2,Accredited Media,SOURCE.3,Ticketing Revenue,Ticketing Revenue (USD2018),SOURCE.4,Broadcast Revenue,Broadcast Revenue (USD2018),SOURCE.5,International Sponsorship Revenue ,International Sponsorship Revenue (USD 2018),SOURCE.6,Domestic Sponsorship Revenue,Domestic Sponsorship Revenue (USD 2018),SOURCE.7,Cost of venues,Cost of venues (USD 2018),SOURCE.8,Cost of organisation,Cost of organisation (USD 2018),SOURCE.9
,,2016 Rio de Janeiro (cost of venues is reported in 2017 and cost of organization is  reported in 2015),11238,IOC 2018: https://www.olympic.org/rio-2016 (accessed 1/6/2018),306.0,IOC 2018: https://www.olympic.org/rio-2016 (accessed 1/6/2018),207.0,IOC 2018: https://www.olympic.org/rio-2016 (accessed 1/6/2018),25000,"Holmes, T. (2016). Suspended reality: The ins and outs of Rio’s Olympic bubble. The Conversation. http://theconversation.com/suspended-reality-the-ins-and-outs-of-rios-olympic-bubble-62692",321000000,335844504.0,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",2868000000,3000629398.46,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",667998000.0,698889273.68,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",848000000,887215386.99,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 19",7230000000,2302301924.0,"Brito, Renata, and Stephen Wade. 2017. ‘AP Analysis: Rio de Janeiro Olympics Cost $13.1 Billion’. AP NEWS. Retrieved 3 December 2021 (https://apnews.com/article/d1662ddb3bae4d2984ca4ab65012be78).",9000000000.0,2865936005.0,"Brito, Renata, and Stephen Wade. 2017. ‘AP Analysis: Rio de Janeiro Olympics Cost $13.1 Billion’. AP NEWS. Retrieved 3 December 2021 (https://apnews.com/article/d1662ddb3bae4d2984ca4ab65012be78)."
Winter Olympic Games,OLYMPIC WINTER GAMES,1964 Innsbruck,1091,"Laibach, 2014: http://www.laibach.info/content/sport/olympische-spiele/olympische-winterspiele/winterspiele-1964-in-innsbruck.html (accessed 07.01.2019)",34.0,"Laibach, 2014: http://www.laibach.info/content/sport/olympische-spiele/olympische-winterspiele/winterspiele-1964-in-innsbruck.html (accessed 07.01.2019)",36.0,"Laibach, 2014: http://www.laibach.info/content/sport/olympische-spiele/olympische-winterspiele/winterspiele-1964-in-innsbruck.html (accessed 07.01.2019)",1164,"Organisationskomitee der IX. Olympischen Winterspiele in Innsbruck 1964, 1967, p.302",30401000,9466362.0,"Organisationskomitee der IX. Olympischen Winterspiele in Innsbruck 1964, p.256",900000,7286368.0,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",,846208.0,"No original source, value is imputed",No domestic sponsorship,No domestic sponsorship,,137556000,42832635.0,"Organisationskomitee der IX. Olympischen Winterspiele in Innsbruck 1964, 1967, p. 252-253",102047000.0,31775727.0,"Organisationskomitee der IX. Olympischeen Winterspiele in Innsbruck 1964 (1967, vol 3), p. 262-264"
,,1968 Grenoble,1293,"Steering Committee of the Xth Winter Olympics of Grenoble. (1969). The Official Report of the Organising Committee of the Xth Winter Olympic Games 1968 at Grenoble, p. 398-399",35.0,"Steering Committee of the Xth Winter Olympics of Grenoble. (1969). The Official Report of the Organising Committee of the Xth Winter Olympic Games 1968 at Grenoble, p. 372-394",37.0,"Steering Committee of the Xth Winter Olympics of Grenoble. (1969). The Official Report of the Organising Committee of the Xth Winter Olympic Games 1968 at Grenoble, p. 398",1545,"Steering Committee of the Xth Winter Olympics of Grenoble. (1969). The Official Report of the Organising Committee of the Xth Winter Olympic Games 1968 at Grenoble, p. 175 and 176",6222000,9097919.31,"Steering Committee of the Xth Winter Olympics of Grenoble. (1969). The Official Report of the Organising Committee of the Xth Winter Olympic Games 1968 at Grenoble, p. 334",2600000,18769320.0,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",2650000.0,3874877.24,"Steering Committee of the Xth Winter Olympics of Grenoble. (1969). The Official Report of the Organising Committee of the Xth Winter Olympic Games 1968 at Grenoble, p. 334",No domestic sponsorship,No domestic sponsorship,,27500000,40210990.22,"Steering Committee of the Xth Winter Olympics of Grenoble. (1969). The Official Report of the Organising Committee of the Xth Winter Olympic Games 1968 at Grenoble, p. 338",118970000.0,173960054.79,"Steering Committee of the Xth Winter Olympics of Grenoble. (1969). The Official Report of the Organising Committee of the Xth Winter Olympic Games 1968 at Grenoble, p. 333-334"
,,1972 Sapporo,1128,"Organizing Committee for the XIth Olympic Winter Games. (1973). The Official Report of the XIth Olympic Winter Games, Sapporo 1972. Organizing Committee for the XIth Olympic Winter Games, p. 92.",35.0,"Organizing Committee for the XIth Olympic Winter Games. (1973). The Official Report of the XIth Olympic Winter Games, Sapporo 1972. Organizing Committee for the XIth Olympic Winter Games, p. 328.",35.0,"Organizing Committee for the XIth Olympic Winter Games. (1973). The Official Report of the XIth Olympic Winter Games, Sapporo 1972. Organizing Committee for the XIth Olympic Winter Games, p. 92.",1875,"Organizing Committee for the XIth Olympic Winter Games. (1973). The Official Report of the XIth Olympic Winter Games, Sapporo 1972. Organizing Committee for the XIth Olympic Winter Games, p. 143",706000000,13983802.66,"Organizing Committee for the XIth Olympic Winter Games. (1973). The Official Report of the XIth Olympic Winter Games, Sapporo 1972. Organizing Committee for the XIth Olympic Winter Games, p. 126",8500000,51042107.73,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",,1088885.0,"No original source, value is imputed",No domestic sponsorship,No domestic sponsorship,,9197000000,182165769.16,"Organizing Committee for the XIth Olympic Winter Games. (1973). The Official Report of the XIth Olympic Winter Games, Sapporo 1972. Organizing Committee for the XIth Olympic Winter Games, p. 129",8108000000.0,160595852.6,"Organizing Committee for the XIth Olympic Winter Games. (1973). The Official Report of the XIth Olympic Winter Games, Sapporo 1972. Organizing Committee for the XIth Olympic Winter Games, p. 125-127"
,,1976 Innsbruck,1261,"Organizing Committee for the XIIth Winter Olympic Games 1976 at Innsbruck. (1976). Final Report Innsbruck’76. OffsetBuchdruckGassler, p.164",37.0,"Organizing Committee for the XIIth Winter Olympic Games 1976 at Innsbruck. (1976). Final Report Innsbruck’76. OffsetBuchdruckGassler, p.33 and 158",37.0,"Organizing Committee for the XIIth Winter Olympic Games 1976 at Innsbruck. (1976). Final Report Innsbruck’76. OffsetBuchdruckGassler, p.163",2058,"Organizing Committee for the XIIth Winter Olympic Games 1976 at Innsbruck. (1976). Final Report Innsbruck’76. OffsetBuchdruckGassler, p.235",82698960,20340457.87,"Organizing Committee for the XIIth Winter Olympic Games 1976 at Innsbruck. (1976). Final Report Innsbruck’76. OffsetBuchdruckGassler, p.271",12000000,52949804.58,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",,6772630.0,"No original source, value is imputed",No domestic sponsorship,No domestic sponsorship,,230000000,56570304.04,"Organizing Committee for the XIIth Winter Olympic Games 1976 at Innsbruck. (1976). Final Report Innsbruck’76. OffsetBuchdruckGassler, p.185",334000000.0,82149919.78,"Organizing Committee for the XIIth Winter Olympic Games 1976 at Innsbruck. (1976). Final Report Innsbruck’76. OffsetBuchdruckGassler, p.184"
,,1980 Lake Placid,1072,IOC 2018: https://www.olympic.org/lake-placid-1980 (accessed on 22.8.2018),38.0,IOC 2018: https://www.olympic.org/lake-placid-1980 (accessed on 22.8.2018),37.0,IOC 2018: https://www.olympic.org/lake-placid-1980 (accessed on 22.8.2018),4000,"LPOOC. (1980). Lake Placid 1980 Final Report. IOC, p. 112",11700000,35651378.6,"Chappelet, Jean-loup (2002) From Lake Placid to Salt Lake City: The challenging growth of the Olympic Winter Games Since 1980, European Journal of Sport Science, 2:3, p. 14, Table 9 10.1080/17461390200072302",21000000,63989653.9,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",30000000.0,91413791.28,"LPOOC. (1980). Lake Placid 1980 Final Report. IOC, p. 124",No domestic sponsorship,No domestic sponsorship,,92000000,280335626.59,"LPOOC. (1980). Lake Placid 1980 Final Report. IOC, p. 144-145",53562545.0,163211843.63,"LPOOC. (1980). Lake Placid 1980 Final Report. IOC, p. 221"
,,1984 Sarajevo,1272,IOC 2018: https://www.olympic.org/sarajevo-1984 (accessed 22 July 2018),39.0,IOC 2018: https://www.olympic.org/sarajevo-1984 (accessed 22 July 2018),49.0,IOC 2018: https://www.olympic.org/sarajevo-1984 (accessed 22 July 2018),7393,Organizing Committee of the XIV Olympic Winter Games Yugoslavia. (1984). Sarajevo ’84: Tout sur les Jeux / All on the Games / Alles über die Spiele / Sve o igrama. P. 134-135,YUM 404'690'853,6401909.16,Organizing Committee of the XIV Olympic Winter Games Yugoslavia. (1984). Sarajevo ’84: Tout sur les Jeux / All on the Games / Alles über die Spiele / Sve o igrama. P. 181,103000000,248969815.91,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",11694000.0,28266534.25,Organizing Committee of the XIV Olympic Winter Games Yugoslavia. (1984). Sarajevo ’84: Tout sur les Jeux / All on the Games / Alles über die Spiele / Sve o igrama. P. 171,1009000000,15961632,Organizing Committee of the XIV Olympic Winter Games Yugoslavia. (1984). Sarajevo ’84: Tout sur les Jeux / All on the Games / Alles über die Spiele / Sve o igrama. P. 171,8632718000,136563196.47,"Organizing Committee of the XIV Olympic Winter Games Yugoslavia. (1984). Sarajevo ’84. Yugoslavia 8-19.02. Final report published by the Organizing Committee of the XIV Winter Olympic Games 1984 in Sarajevo. COJO; IOC  Library. https://library.olympic.org/Default/doc/SYRACUSE/44680/final-report-rapport-sic-final-publie-par-le-comite-d-organisation-des-xivemes-jeux-olympiques-d-hiv, p. 184",4505622000.0,71275598.53,"Organizing Committee of the XIV Olympic Winter Games Yugoslavia. (1984). Sarajevo ’84. Yugoslavia 8-19.02. Final report published by the Organizing Committee of the XIV Winter Olympic Games 1984 in Sarajevo. COJO; IOC  Library. https://library.olympic.org/Default/doc/SYRACUSE/44680/final-report-rapport-sic-final-publie-par-le-comite-d-organisation-des-xivemes-jeux-olympiques-d-hiv, p. 184"
,,1988 Calgary,1423,IOC 2018: https://www.olympic.org/calgary-1988 (accessed 15.6.2018),46.0,IOC 2018: https://www.olympic.org/calgary-1988 (accessed 15.6.2018),57.0,IOC 2018: https://www.olympic.org/calgary-1988 (accessed 15.6.2018),6838,"IOC. (2020). Summer Olympic Games—Calgary 1988—""More About"". https://www.olympic.org/atlanta-1996",32000000,67948002.14,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",325000000,690096896.72,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",31968000.0,67880054.14,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 21",No domestic sponsorship,No domestic sponsorship,,297600000,513335840.69,"OCO’88 The Calgary Olympic Winter Games Organizing Committee. (1988). Rapport officiel des XVes Jeux Olympiques d’hiver | XV Olympic Winter Games: Official report. Part 1: Vol. Part I. Comité d’organisation des XVes Jeux Olympique d’hiver, p. 99-192",526764000.0,908625137.05,"OCO’88 The Calgary Olympic Winter Games Organizing Committee. (1988). Rapport officiel des XVes Jeux Olympiques d’hiver | XV Olympic Winter Games: Official report. Part 1: Vol. Part I. Comité d’organisation des XVes Jeux Olympique d’hiver, p. 81"
,,1992 Albertville,1801,IOC 2020: https://www.olympic.org/albertville-1992 (accessed 26 May 2020),57.0,"Organizing Committee of the XVI Olympic Winter Games of Albertville and Savoie. (1992). Rapport officiel des XVIes jeux olympiques d’hiver d’Albertville et de la Savoie/Official report of the XVI Olympic winter games of Albertville and Savoie. Organizing Committee of the XVI Olympic Winter Games of Albertville and Savoie. http://library.la84.org/6oic/OfficialReports/1992/orw1992.pdf, p. 325",64.0,IOC 2020: https://www.olympic.org/albertville-1992 (accessed 26 May 2020),7407,"Organizing Committee of the XVI Olympic Winter Games of Albertville and Savoie. (1992). Rapport officiel des XVIes jeux olympiques d’hiver d’Albertville et de la Savoie/Official report of the XVI Olympic winter games of Albertville and Savoie. Organizing Committee of the XVI Olympic Winter Games of Albertville and Savoie. http://library.la84.org/6oic/OfficialReports/1992/orw1992.pdf, p. 165",32000000,57266220.14,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",292000000,522554258.81,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",57276000.0,102499375.78,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15",No domestic sponsorship,No domestic sponsorship,,496000000,167666492.67,"Organizing Committee of the XVI Olympic Winter Games of Albertville and Savoie. (1992). Rapport officiel des XVIes jeux olympiques d’hiver d’Albertville et de la Savoie/Official report of the XVI Olympic winter games of Albertville and Savoie. Organizing Committee of the XVI Olympic Winter Games of Albertville and Savoie. http://library.la84.org/6oic/OfficialReports/1992/orw1992.pdf, p. 51",3108740000.0,1050870025.08,"Organizing Committee of the XVI Olympic Winter Games of Albertville and Savoie. (1992). Rapport officiel des XVIes jeux olympiques d’hiver d’Albertville et de la Savoie/Official report of the XVI Olympic winter games of Albertville and Savoie. Organizing Committee of the XVI Olympic Winter Games of Albertville and Savoie. http://library.la84.org/6oic/OfficialReports/1992/orw1992.pdf, p. 53"
,,1994 Lillehammer,1737,"IOC. (1994). The Results of the XVII Olympic Winter Games in Lillehammer. 129–181, p. 129",61.0,"IOC. (1994). The Results of the XVII Olympic Winter Games in Lillehammer. 129–181, p. 129",67.0,"IOC. (1994). The Results of the XVII Olympic Winter Games in Lillehammer. 129–181, p. 129",8000,"LOOC. (1994). Official report of the XVII Olympic Winter Games Lillehammer 1994. vol 2, 40",26000000,44046163.35,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",353000000,598011371.66,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",92907000.0,157392188.4,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",No domestic sponsorship,No domestic sponsorship,,1273670000,305710251.74,"LOOC. (1994). Official report of the XVII Olympic Winter Games Lillehammer 1994. vol 3, 13-103",4484648000.0,1076419220.87,"LOOC. (1994). Official report of the XVII Olympic Winter Games Lillehammer 1994. vol 1, p. 29-30"
,,1998 Nagano,2305,"The Organizing Committee for the XVIII Olympic Winter Games, Nagano 1998 (NAOC). (1999). Official Report of the XVIII Olympic Winter Games Vol. I (Vol. I). NAOC., p.11",68.0,"The Organizing Committee for the XVIII Olympic Winter Games, Nagano 1998 (NAOC). (1999). Official Report of the XVIII Olympic Winter Games Vol. I (Vol. I). NAOC., p.10",72.0,"The Organizing Committee for the XVIII Olympic Winter Games, Nagano 1998 (NAOC). (1999). Official Report of the XVIII Olympic Winter Games Vol. I (Vol. I). NAOC., p.10",8329,"The Organizing Committee for the XVIII Olympic Winter Games, Nagano 1998 (NAOC). (1999). Official Report of the XVIII Olympic Winter Games Vol. I (Vol. I). NAOC., p.271",74000000,113993953.58,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",514000000,791795839.74,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",192807000.0,297011246.06,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",163000000,251094790,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",106600000000,1254443386.51,"The Organizing Committee for the XVIII Olympic Winter Games, Nagano 1998 (NAOC). (1999). Official Report of the XVIII Olympic Winter Games Vol. II (Vol. II). NAOC., p.185",113800000000.0,1339171270.03,"The Organizing Committee for the XVIII Olympic Winter Games, Nagano 1998 (NAOC). (1999). Official Report of the XVIII Olympic Winter Games Vol. I (Vol. I). NAOC., p.59 and 88"
,,2002 Salt Lake City,2399,IOC 2018: https://www.olympic.org/salt-lake-city-2002 (accessed on 26.06.18),80.0,IOC 2018: https://www.olympic.org/salt-lake-city-2002 (accessed on 26.06.18),77.0,IOC 2018: https://www.olympic.org/salt-lake-city-2002 (accessed on 26.06.18),8730,IOC 2018: https://www.olympic.org/salt-lake-city-2002 (accessed on 26.06.18),183000000,255470129.71,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",738000000,1030256588.68,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",220779000.0,308210053.38,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",494000000,689629749,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",284000000,396467305.13,"Salt Lake City Committee for the Olympic Winter Games, 2002. (2002). Salt Lake 2002—Official Report of the XIX Olympic Winter Games (Vol. 1). SLOC. p. 386",1900000000.0,2652422111.77,"Salt Lake City Committee for the Olympic Winter Games, 2002. (2002). Salt Lake 2002—Official Report of the XIX Olympic Winter Games (Vol. 1). SLOC. p. 187"
,,2006 Turin,2508,IOC 2017: https://www.olympic.org/turin-2006 (accessed 2027.11.2017),84.0,IOC 2017: https://www.olympic.org/turin-2006 (accessed 2027.11.2017),80.0,IOC 2017: https://www.olympic.org/turin-2006 (accessed 2027.11.2017),11863,"The Organising Committee for the XX Olympic Winter Games – Torino 2006. (2007). Relazione Finale—Final Report Volume 1 Part II. TOROC. https://library.olympic.org/Default/doc/SYRACUSE/29828/xx-giochi-olimpici-invernali-torino-2006-xx-olympic-winter-games-torino-2006-comitato-per-l-organizz?_lg=en-GB, p. 187",89000000,110859632.23,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 33",831000000,1035105105.46,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 27",288378000.0,359207629.49,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",348000000,433473618,"International Olympic Committee IOC. (2020). Olympic Marketing Fact File 2020 Edition. https://library.olympic.org/doc/SYRACUSE/355225, p. 15 and 19",1835000000,2871484178.6,"The Organising Committee for the XX Olympic Winter Games – Torino 2006. (2007). Relazione Finale—Final Report Volume 2 Part II. TOROC. https://library.olympic.org/Default/doc/SYRACUSE/29828/xx-giochi-olimpici-invernali-torino-2006-xx-olympic-winter-games-torino-2006-comitato-per-l-organizz?_lg=en-GB, p. 181",1229000000.0,1923190220.98,"The Organising Committee for the XX Olympic Winter Games – Torino 2006. (2007). Relazione Finale—Final Report Volume 1 Part I. TOROC. https://library.olympic.org/Default/doc/SYRACUSE/29828/xx-giochi-olimpici-invernali-torino-2006-xx-olympic-winter-games-torino-2006-comitato-per-l-organizz?_lg=en-GB, p. 21-22"
